（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0FTZ9MNZ3,B0FTZ6S8PD,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, XL, ブラック)",532,12,0.39%,0.89%,713,18,0.38%,1.00%,99.39%,85.71%,50,0,9.40%,0.00%,"￥82,292",￥0,38,0
B0FLTG77WW,B0FLTCV4XC,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, 2XL, タイプ1)",611,5,0.44%,0.37%,812,6,0.43%,0.33%,100.00%,66.67%,35,1,5.73%,20.00%,"￥64,030","￥1,898",34,1
B0FLXCRNJZ,B0FLXB3R46,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (ブラック, 34/75)",559,2,0.41%,0.15%,738,2,0.39%,0.11%,99.70%,100.00%,37,0,6.62%,0.00%,"￥65,568",￥0,34,0
B0FTZ9MNZ3,B0FTZ7WW8B,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, モカ)",528,10,0.38%,0.74%,713,11,0.38%,0.61%,99.37%,87.50%,38,0,7.20%,0.00%,"￥62,600",￥0,34,0
B0FLXCRNJZ,B0FLXBSL3S,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (サニーオレンジ, 38/85)",633,2,0.46%,0.15%,800,2,0.42%,0.11%,100.00%,100.00%,36,0,5.69%,0.00%,"￥63,724",￥0,33,0
B0FLXCRNJZ,B0FLXDCDRS,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (ペールグリーン, 36/80)",482,2,0.35%,0.15%,607,10,0.32%,0.56%,99.82%,100.00%,34,0,7.05%,0.00%,"￥60,390",￥0,33,0
B0FSZR223X,B0FSZQ33B1, ,785,13,0.57%,0.96%,"1,063",16,0.56%,0.89%,99.49%,84.62%,35,0,4.46%,0.00%,"￥72,610",￥0,33,0
B0FTZ9MNZ3,B0FTZ5L8GF,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, XL, モカ)",582,9,0.42%,0.67%,830,11,0.44%,0.61%,100.00%,100.00%,41,0,7.04%,0.00%,"￥66,494",￥0,33,0
B0FLXCRNJZ,B0FLXC6JD9,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (フェザーベージュ, 38/85)",652,4,0.47%,0.30%,816,5,0.43%,0.28%,100.00%,100.00%,39,5,5.98%,125.00%,"￥67,706","￥7,450",32,1
B0FLTG77WW,B0FLT2S4P3,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, M, タイプ5)",767,4,0.56%,0.30%,983,5,0.52%,0.28%,99.89%,80.00%,34,0,4.43%,0.00%,"￥62,932",￥0,31,0
B0FLTG77WW,B0FLTZ9C7W,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, XL, タイプ2)",959,2,0.70%,0.15%,"1,243",2,0.66%,0.11%,100.00%,100.00%,31,0,3.23%,0.00%,"￥56,838",￥0,31,0
B0FLTG77WW,B0FLTZN3KL,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, 3XL, タイプ5)",906,4,0.66%,0.30%,"1,226",5,0.65%,0.28%,100.00%,100.00%,30,0,3.31%,0.00%,"￥54,840",￥0,30,0
B0FLXCRNJZ,B0FLX9T8B5,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (モカ, 36/80)",482,0,0.35%,0.00%,586,0,0.31%,0.00%,99.27%,0.00%,29,0,6.02%,0.00%,"￥51,308",￥0,29,0
B0FTZ9MNZ3,B0FTZ752SL,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, 2XL, モカ)",462,7,0.34%,0.52%,617,7,0.33%,0.39%,99.82%,100.00%,33,2,7.14%,28.57%,"￥54,034","￥3,396",29,1
