amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-7788743-1508654		2026-02-27T20:54:31+09:00	2026-02-28T09:49:24+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, ベージュ)	30713-A-03	B0FTZ5VMR8	Shipped	1	JPY	1698.0	154.0								愛知県	441-3147	JP	
250-7788743-1508654		2026-02-27T20:54:31+09:00	2026-02-28T09:49:24+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, モカ)	30713-A-02	B0FTZ7WW8B	Shipped	1	JPY	1698.0	155.0								愛知県	441-3147	JP	
503-8040338-5462228		2026-02-27T15:35:39+09:00	2026-02-28T09:48:13+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, L, モカ)	30713-B-02	B0FTZ812H4	Shipped	2	JPY	3396.0	309.0								東京都	131-0043	JP	
503-1608638-6226269	503-1608638-6226269	2026-02-27T15:34:04+09:00	2026-03-07T10:19:11+09:00	Cancelled	Amazon	Amazon.co.jp			Standard	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-A-05	B0FLXD591M	Cancelled	0											Kumamoto-ken	866-0083	JP	
249-6220783-4279857	249-6220783-4279857	2026-02-27T15:13:16+09:00	2026-02-27T21:04:26+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-04	B0FLX9T8B5	Shipped	1	JPY	1798.0	163.0								山口県	758-0011	JP	
250-3738566-0950262	250-3738566-0950262	2026-02-27T13:51:46+09:00	2026-02-27T17:32:31+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-A-01	B0FM3JKLJ3	Shipped	1	JPY	1000.0	91.0								東京都	124-0006	JP	
249-9044811-5141427	249-9044811-5141427	2026-02-27T02:34:29+09:00	2026-02-27T16:17:11+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-C-01	B0FM3G5QMY	Shipped	2	JPY	2000.0	182.0								島根県	690-0011	JP	
503-8869075-6042211	503-8869075-6042211	2026-02-27T02:07:25+09:00	2026-02-27T16:59:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 綿 ハイウエストショーツ 4枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない お尻す 	30819-B-04	B0FLTKLV8Z	Shipped	1	JPY	1798.0	163.0								岩手県	020-0141	JP	
503-7735433-9307815		2026-02-27T02:07:25+09:00	2026-02-27T17:00:18+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ9)	30815-B-09	B0GNJN5ZY2	Shipped	1	JPY	1298.0	118.0								岩手県	020-0141	JP	
503-8998890-3842228		2026-02-27T01:57:13+09:00	2026-02-28T00:06:59+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, XL, ベージュ)	30713-C-03	B0FTZ9P7CN	Shipped	1	JPY	1698.0	154.0								埼玉県	355-0324	JP	
503-6934203-1247040		2026-02-27T00:58:34+09:00	2026-02-27T11:26:44+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 7枚セット シームレスショーツ レディース 深め ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ シームレスパンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, XL, 7色アソート)	30827-C-01	B0FSZNDF5S	Shipped	1	JPY	2190.0	199.0								兵庫県	653-0037	JP	
249-2449232-1477410	249-2449232-1477410	2026-02-27T00:16:09+09:00	2026-02-27T05:11:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-01	B0FLXBR4ZS	Shipped	1	JPY	1798.0	163.0								群馬県	378-0031	JP	
