※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/10/01 ～ 2025/10/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-7s-B-01","","7枚セット【A】","L","","","","",2190,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-7s-B-02","","7枚セット【B】","L","","","","",2190,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-7s-C-01","","7枚セット【A】","LL","","","","",8760,4,4
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-A-01","","7枚セット","M","","","","",5670,3,3
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-B-01","","7枚セット","L","","","","",7560,3,4
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-C-01","","7枚セット","LL","","","","",1890,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-D-01","","7枚セット","3L","","","","",1890,1,1
"","30902","","＼20％オフ★2点＆クーポンで／【ノンワイヤーブラセット◆シームレス】脇高ブラセット ブラ&ショーツ セット シームレスブラ ノンワイヤーブラ ブラジャー 補正 脇高 ショーツ  シームレスブラセット 盛れる 美胸 黒 ベージュ 補正ブラ ワイヤレスブラ ナイトブラ 育乳","30902-B-01","","モーヴピンク","36/80","","","","",1590,1,1
"","30902","","＼20％オフ★2点＆クーポンで／【ノンワイヤーブラセット◆シームレス】脇高ブラセット ブラ&ショーツ セット シームレスブラ ノンワイヤーブラ ブラジャー 補正 脇高 ショーツ  シームレスブラセット 盛れる 美胸 黒 ベージュ 補正ブラ ワイヤレスブラ ナイトブラ 育乳","30902-B-03","","ペールグリーン","36/80","","","","",1590,1,1
"","30902","","＼20％オフ★2点＆クーポンで／【ノンワイヤーブラセット◆シームレス】脇高ブラセット ブラ&ショーツ セット シームレスブラ ノンワイヤーブラ ブラジャー 補正 脇高 ショーツ  シームレスブラセット 盛れる 美胸 黒 ベージュ 補正ブラ ワイヤレスブラ ナイトブラ 育乳","30902-B-04","","アッシュブルー","36/80","","","","",1590,1,1
